class_code,date,active_vegetation_endmembers,candidate_ids,reviewed_at
"11","2020-08-12","EM03","TCAMZ_C11_D20200812_PPI_EM03","2026-08-15T21:28:43.548Z"
"11","2020-08-28","EM04","TCAMZ_C11_D20200828_PPI_EM04","2026-08-15T21:28:47.180Z"
"11","2020-09-13","EM03|EM04","TCAMZ_C11_D20200913_PPI_EM03|TCAMZ_C11_D20200913_PPI_EM04","2026-08-15T21:28:49.748Z"
"11","2020-09-29","EM03","TCAMZ_C11_D20200929_PPI_EM03","2026-08-15T21:28:51.092Z"
"11","2020-10-15","EM03","TCAMZ_C11_D20201015_PPI_EM03","2026-08-15T21:28:51.972Z"
"11","2020-10-31","EM02","TCAMZ_C11_D20201031_PPI_EM02","2026-08-15T21:28:52.773Z"
"11","2020-11-16","EM04","TCAMZ_C11_D20201116_PPI_EM04","2026-08-15T21:28:53.844Z"
"11","2020-12-02","EM02","TCAMZ_C11_D20201202_PPI_EM02","2026-08-15T21:28:54.716Z"
"11","2020-12-18","EM04","TCAMZ_C11_D20201218_PPI_EM04","2026-08-15T21:28:55.548Z"
"11","2021-01-01","EM03","TCAMZ_C11_D20210101_PPI_EM03","2026-08-15T21:28:56.748Z"
"11","2021-01-17","EM03","TCAMZ_C11_D20210117_PPI_EM03","2026-08-15T21:28:58.412Z"
"11","2021-02-02","NENHUM","","2026-08-15T21:29:00.764Z"
"11","2021-02-18","EM03","TCAMZ_C11_D20210218_PPI_EM03","2026-08-15T21:29:03.164Z"
"11","2021-03-06","EM02","TCAMZ_C11_D20210306_PPI_EM02","2026-08-15T21:29:04.116Z"
"11","2021-03-22","EM03","TCAMZ_C11_D20210322_PPI_EM03","2026-08-15T21:29:05.244Z"
"11","2021-04-07","EM03","TCAMZ_C11_D20210407_PPI_EM03","2026-08-15T21:29:06.196Z"
"11","2021-04-23","EM02","TCAMZ_C11_D20210423_PPI_EM02","2026-08-15T21:29:07.276Z"
"11","2021-05-09","EM02","TCAMZ_C11_D20210509_PPI_EM02","2026-08-15T21:29:09.116Z"
"11","2021-05-25","EM03","TCAMZ_C11_D20210525_PPI_EM03","2026-08-15T21:29:10.500Z"
"11","2021-06-10","EM03","TCAMZ_C11_D20210610_PPI_EM03","2026-08-15T21:29:11.428Z"
"11","2021-06-26","EM03","TCAMZ_C11_D20210626_PPI_EM03","2026-08-15T21:29:12.332Z"
"11","2021-07-12","EM02","TCAMZ_C11_D20210712_PPI_EM02","2026-08-15T21:29:13.500Z"
"11","2021-07-28","EM01","TCAMZ_C11_D20210728_PPI_EM01","2026-08-15T21:29:14.548Z"
"11","2021-08-13","NENHUM","","2026-08-15T21:29:16.052Z"
"11","2021-08-29","EM04","TCAMZ_C11_D20210829_PPI_EM04","2026-08-15T21:29:17.860Z"
"11","2021-09-14","EM02","TCAMZ_C11_D20210914_PPI_EM02","2026-08-15T21:29:19.052Z"
"11","2021-09-30","EM02","TCAMZ_C11_D20210930_PPI_EM02","2026-08-15T21:29:19.836Z"
